5.1E+15,42779.64306,42779.69653,0,13,5,18
5.1E+15,42779.69861,42779.70833,1,14,5,19
5.1E+15,42778.73819,42779.48472,1,9,9,18
5.1E+15,42778.55417,42779.31528,1,12,0,12
5.1E+15,42779.50069,42779.58333,1,26,19,45
5.1E+15,42779.58472,42779.80347,1,27,19,46
5.1E+15,42778.7125,42779.43264,1,8,3,11
5.1E+15,42779.43333,42779.47847,0,9,3,12
5.1E+15,42779.47847,42779.75903,1,10,3,13
5.1E+15,42778.83194,42779.49931,1,17,1,18
5.1E+15,42779.34514,0001-1-1,Null,37,8,45
5.1E+15,42778.60764,42779.325,0,35,7,42
5.1E+15,42779.34583,42779.34375,0,36,8,44
5.1E+15,42779.01458,42779.57569,1,38,8,46
5.1E+15,42779.45139,42779.61111,1,27,10,37
5.1E+15,42779.61319,42779.61944,0,28,10,38
5.1E+15,42779.62292,42779.70764,1,29,10,39
5.1E+15,42779.92569,0001-1-1,0,7,9,16
5.1E+15,42778.77986,42779.38194,1,10,0,10
5.1E+15,42779.38403,42779.79028,1,11,0,11
5.1E+15,42778.91389,42779.39861,1,20,7,27
5.1E+15,42777.34722,42779.42222,1,13,1,14
5.1E+15,42779.39861,42779.40556,1,18,2,20
5.1E+15,42779.40556,42779.71944,1,19,2,21
5.1E+15,42779.72014,42779.83542,1,20,2,22
5.1E+15,42778.67639,42779.38264,1,7,4,11
5.1E+15,42777.35069,0001-1-1,Null,28,2,30
5.1E+15,42779.5625,42779.69583,0,29,2,31
5.1E+15,42771.56944,42779.62639,0,3,0,3
5.1E+15,42778.84583,42779.37639,1,17,12,29
5.1E+15,42778.72014,42779.35278,0,12,14,26
5.1E+15,42779.71944,42779.74722,0,13,16,29
5.1E+15,42778.64167,42779.39792,1,5,13,18
5.1E+15,42778.66319,42779.7625,1,7,3,10
5.1E+15,42778.75139,42779.29028,1,21,3,24
5.1E+15,42779.75,42779.78125,0,1,0,1
5.1E+15,42779.78889,42779.88194,1,2,0,2
5.1E+15,42779.87014,42779.88542,0,6,5,11
5.1E+15,42778.58056,42779.53056,0,23,6,29
5.1E+15,42779.53264,42779.57431,1,24,6,30
5.1E+15,42778.44583,42779.62708,1,2,0,2
5.1E+15,42779.62778,42779.69444,0,3,0,3
5.1E+15,42778.90208,42779.81458,0,17,0,17
5.1E+15,42779.90208,42779.9125,0,18,0,18
5.1E+15,42777.73819,42779.64306,1,28,2,30
5.1E+15,42779.64375,42779.77153,1,29,2,31
5.1E+15,42778.90069,42779.59375,0,12,0,12
5.1E+15,42778.77569,42779.26389,1,19,17,36
5.1E+15,42778.47222,42779.35069,0,10,3,13
5.1E+15,42779.35278,42779.39236,1,11,3,14
5.1E+15,42778.72083,42779.43194,1,5,8,13
5.1E+15,42778.74028,42779.33194,0,20,22,42
5.1E+15,42776.3625,42779.36806,0,9,7,16
5.1E+15,42779.86458,42779.90486,0,3,3,6
5.1E+15,42760.71736,42779.40972,1,1,0,1
5.1E+15,42779.41042,42779.42708,1,2,0,2
5.1E+15,42779.42778,42779.52361,0,3,0,3
5.1E+15,42779.52431,42779.54375,0,4,0,4
5.1E+15,42779.73889,0001-1-1,Null,2,16,18
5.1E+15,42779.76181,42779.85278,0,3,16,19
5.1E+15,42778.88472,42779.32083,0,30,10,40
5.1E+15,42779.33542,42779.99167,1,31,11,42
5.1E+15,42777.76528,42779.72083,0,3,2,5
5.1E+15,42778.73542,42779.33819,1,52,1,53
5.1E+15,42779.33889,42779.35625,0,53,1,54
5.1E+15,42779.35764,42779.71111,0,54,1,55
5.1E+15,42779.71389,42779.72778,1,55,1,56
5.1E+15,42779.72778,42779.77153,0,56,1,57
5.1E+15,42779.56389,42779.76042,0,9,3,12
5.1E+15,42779.76181,42779.89653,0,10,3,13
5.1E+15,42778.87014,42779.35,0,40,4,44
5.1E+15,42779.35417,42779.74236,0,41,4,45
5.1E+15,42779.74861,42779.75486,1,42,4,46
5.1E+15,42778.58819,42779.37083,0,18,2,20
5.1E+15,42779.37153,42779.52847,0,19,2,21
5.1E+15,42779.32778,42779.53542,1,2,32,34
5.1E+15,42779.53611,42779.55764,1,3,32,35
5.1E+15,42779.55833,42779.78958,1,4,32,36
5.1E+15,42778.63056,42779.43472,0,51,4,55
5.1E+15,42779.43472,0001-1-1,1,52,4,56
5.1E+15,42779.45278,42779.59861,1,53,4,57
5.1E+15,42779.59931,42779.70556,1,54,4,58
5.1E+15,42779.71111,42779.72083,1,55,5,60
5.1E+15,42779.75278,42779.80625,1,1,14,15
5.1E+15,42778.73611,42779.31736,1,20,4,24
5.1E+15,41946.42361,42779.60972,0,1,0,1
5.1E+15,42775.67986,42779.47083,1,9,2,11
5.1E+15,42779.47361,42779.55486,0,10,2,12
5.1E+15,42779.3625,42779.36528,0,14,4,18
5.1E+15,42779.36944,0001-1-1,Null,15,4,19
5.1E+15,42779.47431,0001-1-1,Null,16,4,20
5.1E+15,42779.48819,42779.54375,1,17,4,21
5.1E+15,42779.54375,0001-1-1,Null,18,4,22
